analysis_block,capacity_n_original,threshold,row_type,strategy_or_contrast,metric,estimate_95CI,analysis_label
Current-state matched alert workload,2268,,paired difference,LM5 minus early mean MAP,Events captured,26.000 (1.000 to 51.000),post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
Current-state matched alert workload,2268,,paired difference,LM5 minus early mean MAP,Sensitivity,0.019 (0.001 to 0.036),post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
Current-state matched alert workload,2268,,paired difference,LM5 minus early mean MAP,PPV,0.011 (0.000 to 0.022),post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
Current-state matched alert workload,2268,,paired difference,LM5 minus early mean MAP,"False-positive alerts per 1,000",-3.6 (-7.1 to -0.1),post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
Current-state matched alert workload,2268,,paired difference,LM5 minus early mean MAP,Alerts per event captured,-0.10 (-0.19 to -0.00),post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
Current-state matched alert workload,2268,,paired difference,LM5 minus landmark MAP <65,Events captured,-1.000 (-20.000 to 16.000),post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
Current-state matched alert workload,2268,,paired difference,LM5 minus landmark MAP <65,Sensitivity,-0.001 (-0.014 to 0.012),post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
Current-state matched alert workload,2268,,paired difference,LM5 minus landmark MAP <65,PPV,-0.000 (-0.009 to 0.007),post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
Current-state matched alert workload,2268,,paired difference,LM5 minus landmark MAP <65,"False-positive alerts per 1,000",0.1 (-2.2 to 2.8),post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
Current-state matched alert workload,2268,,paired difference,LM5 minus landmark MAP <65,Alerts per event captured,0.00 (-0.06 to 0.07),post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
Current-state matched alert workload,2268,,paired difference,Early mean MAP minus landmark MAP <65,Events captured,-27.000 (-54.025 to -1.975),post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
Current-state matched alert workload,2268,,paired difference,Early mean MAP minus landmark MAP <65,Sensitivity,-0.019 (-0.039 to -0.001),post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
Current-state matched alert workload,2268,,paired difference,Early mean MAP minus landmark MAP <65,PPV,-0.012 (-0.024 to -0.001),post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
Current-state matched alert workload,2268,,paired difference,Early mean MAP minus landmark MAP <65,"False-positive alerts per 1,000",3.8 (0.3 to 7.5),post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
Current-state matched alert workload,2268,,paired difference,Early mean MAP minus landmark MAP <65,Alerts per event captured,0.10 (0.01 to 0.21),post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
